,Carrier Short Name,Means of Transport,Origin Code,Destination Code,iTMS Mode,Currency,Min Price,Max Price,Chargeable Weight Bracket,Cost per 100kg
100764,GEFCO,,A009KB  02,22342J  02,LTL / GRP / HUB,EUR,0.0,500.23,>20000_HUB,500.23
100765,GEFCO,,A009CN  01,22342J  02,LTL / GRP / HUB,EUR,0.0,866.13,>20000_HUB,866.13
100766,GEFCO,,A00AF2  01,22342J  02,LTL / GRP / HUB,EUR,0.0,1462.37,>20000_HUB,1462.37
100767,GEFCO,,A0085W  01,22342J  02,LTL / GRP / HUB,EUR,0.0,4852.27,>20000_HUB,4852.27
100768,GEFCO,,78001H  CA,22342J  02,LTL / GRP / HUB,EUR,0.0,1463.66,>20000_HUB,1463.66
100769,GEFCO,,26846E  DF,22342J  02,LTL / GRP / HUB,EUR,0.0,1294.62,>20000_HUB,1294.62
100770,GEFCO,,78001H  MS,22342J  02,LTL / GRP / HUB,EUR,0.0,1011.85,>20000_HUB,1011.85
100771,GEFCO,,78001H  MU,22342J  02,LTL / GRP / HUB,EUR,0.0,987.1,>20000_HUB,987.1
100772,GEFCO,,78001H  PY,22342J  02,LTL / GRP / HUB,EUR,0.0,1311.56,>20000_HUB,1311.56
100773,GEFCO,,78001H  RJ,22342J  02,LTL / GRP / HUB,EUR,0.0,1552.9,>20000_HUB,1552.9
100774,GEFCO,,26859U  06,22342J  02,LTL / GRP / HUB,EUR,0.0,1209.3,>20000_HUB,1209.3
100775,GEFCO,,78001H  SX,22342J  02,LTL / GRP / HUB,EUR,0.0,1037.37,>20000_HUB,1037.37
100776,GEFCO,,78001H  MY,22342J  02,LTL / GRP / HUB,EUR,0.0,1010.32,>20000_HUB,1010.32
100777,GEFCO,,78001H  VA,22342J  02,LTL / GRP / HUB,EUR,0.0,1195.91,>20000_HUB,1195.91
100778,GEFCO,,A00A5Y  01,22342J  02,LTL / GRP / HUB,EUR,0.0,470.54,>20000_HUB,470.54
100779,GEFCO,,A00AU2  02,22342J  02,LTL / GRP / HUB,EUR,0.0,1716.13,>20000_HUB,1716.13
100780,GEFCO,,A009KB  01,22342J  02,LTL / GRP / HUB,EUR,0.0,517.5,>20000_HUB,517.5
100781,GEFCO,,78001H  VE,84648H  06,LTL / GRP / HUB,EUR,0.0,841.12,>20000_HUB,841.12
100782,GEFCO,,A009CN  02,84648H  06,LTL / GRP / HUB,EUR,0.0,629.44,>20000_HUB,629.44
100783,GEFCO,,A00ANR  01,84648H  06,LTL / GRP / HUB,EUR,0.0,612.0,>20000_HUB,612.0
100784,GEFCO,,A003Q7  04,84648H  06,LTL / GRP / HUB,EUR,0.0,504.35,>20000_HUB,504.35
100785,GEFCO,,A003Q7  01,84648H  06,LTL / GRP / HUB,EUR,0.0,586.96,>20000_HUB,586.96
100786,GEFCO,,A004IK  01,84648H  06,LTL / GRP / HUB,EUR,0.0,2033.67,>20000_HUB,2033.67
100787,GEFCO,,90009K  TH,84648H  06,LTL / GRP / HUB,EUR,0.0,1240.64,>20000_HUB,1240.64
100788,GEFCO,,98120B  01,84648H  06,LTL / GRP / HUB,EUR,0.0,505.6,>20000_HUB,505.6
100789,GEFCO,,26805K  01,84648H  06,LTL / GRP / HUB,EUR,0.0,2551.81,>20000_HUB,2551.81
100790,GEFCO,,26805K  04,84648H  06,LTL / GRP / HUB,EUR,0.0,2237.13,>20000_HUB,2237.13
100791,GEFCO,,26697T  01,84648H  06,LTL / GRP / HUB,EUR,0.0,2614.79,>20000_HUB,2614.79
100792,GEFCO,,A003Q7  02,84648H  06,LTL / GRP / HUB,EUR,0.0,651.04,>20000_HUB,651.04
100793,GEFCO,,A009CN  01,84648H  06,LTL / GRP / HUB,EUR,0.0,586.96,>20000_HUB,586.96
100794,GEFCO,,A00AF2  01,84648H  06,LTL / GRP / HUB,EUR,0.0,1240.64,>20000_HUB,1240.64
100795,GEFCO,,A0085W  01,84648H  06,LTL / GRP / HUB,EUR,0.0,4971.59,>20000_HUB,4971.59
100796,GEFCO,,78001H  CA,84648H  06,LTL / GRP / HUB,EUR,0.0,1123.36,>20000_HUB,1123.36
100797,GEFCO,,26846E  DF,84648H  06,LTL / GRP / HUB,EUR,0.0,910.24,>20000_HUB,910.24
100798,GEFCO,,78001H  MS,84648H  06,LTL / GRP / HUB,EUR,0.0,745.36,>20000_HUB,745.36
100799,GEFCO,,78001H  MU,84648H  06,LTL / GRP / HUB,EUR,0.0,763.36,>20000_HUB,763.36
100800,GEFCO,,78001H  PY,84648H  06,LTL / GRP / HUB,EUR,0.0,1018.96,>20000_HUB,1018.96
100801,GEFCO,,78001H  RJ,84648H  06,LTL / GRP / HUB,EUR,0.0,1229.36,>20000_HUB,1229.36
100802,GEFCO,,78001H  SX,84648H  06,LTL / GRP / HUB,EUR,0.0,808.0,>20000_HUB,808.0
100803,GEFCO,,78001H  MY,84648H  06,LTL / GRP / HUB,EUR,0.0,760.48,>20000_HUB,760.48
100804,GEFCO,,78001H  VA,84648H  06,LTL / GRP / HUB,EUR,0.0,856.96,>20000_HUB,856.96
100805,GEFCO,,A00A5Y  01,84648H  06,LTL / GRP / HUB,EUR,0.0,577.5,>20000_HUB,577.5
100806,GEFCO,,A00AU2  02,84648H  06,LTL / GRP / HUB,EUR,0.0,1479.36,>20000_HUB,1479.36
100807,GEFCO,,26859U  06,84648H  06,LTL / GRP / HUB,EUR,0.0,869.92,>20000_HUB,869.92
100808,GEFCO,,78001H  VE,84648H  07,LTL / GRP / HUB,EUR,0.0,1000.24,>20000_HUB,1000.24
100809,GEFCO,,A00ANR  01,84648H  07,LTL / GRP / HUB,EUR,0.0,489.0,>20000_HUB,489.0
100810,GEFCO,,90009K  TH,84648H  07,LTL / GRP / HUB,EUR,0.0,1440.48,>20000_HUB,1440.48
100811,GEFCO,,98120B  01,84648H  07,LTL / GRP / HUB,EUR,0.0,403.0,>20000_HUB,403.0
